#q[A]	I[arb.]
0.109271	7443115.030
0.110794	7428347.237
0.112339	7413191.001
0.113905	7397636.863
0.115492	7381675.179
0.117102	7365296.114
0.118735	7348489.648
0.120390	7331245.571
0.122068	7313553.481
0.123769	7295402.789
0.125495	7276782.714
0.127244	7257682.286
0.129018	7238090.347
0.130816	7217995.548
0.132640	7197386.356
0.134489	7176251.051
0.136363	7154577.731
0.138264	7132354.312
0.140191	7109568.530
0.142146	7086207.950
0.144127	7062259.963
0.146136	7037711.793
0.148173	7012550.501
0.150239	6986762.995
0.152333	6960336.027
0.154456	6933256.209
0.156609	6905510.013
0.158792	6877083.783
0.161006	6847963.744
0.163250	6818136.009
0.165526	6787586.592
0.167833	6756301.416
0.170173	6724266.331
0.172545	6691467.120
0.174950	6657889.520
0.177389	6623519.232
0.179861	6588341.941
0.182369	6552343.333
0.184911	6515509.112
0.187488	6477825.021
0.190102	6439276.865
0.192752	6399850.532
0.195438	6359532.018
0.198163	6318307.454
0.200925	6276163.130
0.203726	6233085.527
0.206566	6189061.348
0.209445	6144077.546
0.212365	6098121.365
0.215325	6051180.368
0.218326	6003242.482
0.221370	5954296.034
0.224455	5904329.791
0.227584	5853333.009
0.230757	5801295.474
0.233973	5748207.553
0.237235	5694060.240
0.240542	5638845.215
0.243895	5582554.891
0.247294	5525182.474
0.250742	5466722.023
0.254237	5407168.509
0.257781	5346517.877
0.261374	5284767.114
0.265017	5221914.315
0.268712	5157958.754
0.272457	5092900.953
0.276255	5026742.756
0.280106	4959487.409
0.284011	4891139.630
0.287970	4821705.693
0.291984	4751193.508
0.296054	4679612.698
0.300181	4606974.690
0.304365	4533292.791
0.308608	4458582.277
0.312910	4382860.477
0.317271	4306146.858
0.321694	4228463.108
0.326178	4149833.223
0.330725	4070283.591
0.335335	3989843.070
0.340009	3908543.070
0.344749	3826417.633
0.349555	3743503.503
0.354427	3659840.201
0.359368	3575470.091
0.364377	3490438.440
0.369456	3404793.476
0.374606	3318586.439
0.379828	3231871.621
0.385123	3144706.404
0.390491	3057151.281
0.395934	2969269.875
0.401453	2881128.946
0.407050	2792798.377
0.412724	2704351.158
0.418477	2615863.353
0.424310	2527414.046
0.430225	2439085.277
0.436222	2350961.960
0.442302	2263131.778
0.448468	2175685.060
0.454719	2088714.644
0.461058	2002315.702
0.467485	1916585.563
0.474001	1831623.491
0.480609	1747530.455
0.487308	1664408.860
0.494101	1582362.264
0.500988	1501495.056
0.507972	1421912.115
0.515053	1343718.439
0.522232	1267018.743
0.529512	1191917.035
0.536893	1118516.164
0.544377	1046917.333
0.551965	977219.603
0.559659	909519.361
0.567461	843909.766
0.575371	780480.188
0.583391	719315.612
0.591523	660496.044
0.599769	604095.899
0.608129	550183.384
0.616606	498819.880
0.625201	450059.331
0.633916	403947.636
0.642753	360522.064
0.651712	319810.685
0.660797	281831.837
0.670008	246593.628
0.679348	214093.480
0.688817	184317.735
0.698419	157241.315
0.708155	132827.463
0.718026	111027.558
0.728035	91781.023
0.738183	75015.333
0.748473	60646.126
0.758907	48577.435
0.769485	38702.036
0.780212	30901.931
0.791087	25048.963
0.802115	21005.565
0.813296	18625.651
0.824633	17755.650
0.836127	18235.673
0.847783	19900.814
0.859600	22582.579
0.871583	26110.427
0.883732	30313.424
0.896051	35021.967
0.908541	40069.590
0.921206	45294.811
0.934047	50542.991
0.947067	55668.187
0.960269	60534.968
0.973654	65020.139
0.987226	69014.369
1.000988	72423.652
1.014941	75170.592
1.029089	77195.445
1.043434	78456.909
1.057979	78932.605
1.072726	78619.230
1.087679	77532.352
1.102841	75705.824
1.118214	73190.812
1.133801	70054.424
1.149606	66377.950
1.165631	62254.739
1.181879	57787.726
1.198354	53086.671
1.215058	48265.146
1.231996	43437.360
1.249169	38714.881
1.266582	34203.369
1.284237	29999.396
1.302139	26187.486
1.320290	22837.461
1.338694	20002.217
1.357355	17716.029
1.376275	15993.476
1.395460	14829.066
1.414912	14197.615
1.434635	14055.414
1.454633	14342.178
1.474910	14983.746
1.495469	15895.452
1.516315	16986.062
1.537452	18162.117
1.558883	19332.507
1.580613	20413.039
1.602646	21330.793
1.624986	22027.976
1.647637	22465.057
1.670605	22622.941
1.693892	22503.984
1.717504	22131.701
1.741445	21549.102
1.765720	20815.649
1.790333	20002.940
1.815289	19189.332
1.840593	18453.799
1.866250	17869.429
1.892265	17497.051
1.918642	17379.518
1.945387	17537.213
1.972504	17965.307
2.000000	18633.239
